result
Id,Term,Crn,Subj,Number,Section,Footnote,Title,Credit,CreditMax,Res,Fy,HasPerm,HasGuide,Meetings/0/Location,Meetings/0/U,Meetings/0/M,Meetings/0/T,Meetings/0/W,Meetings/0/R,Meetings/0/F,Meetings/0/S,Meetings/0/Start,Meetings/0/End,Meetings/0/Credit,Meetings/1/Location,Meetings/1/U,Meetings/1/M,Meetings/1/T,Meetings/1/W,Meetings/1/R,Meetings/1/F,Meetings/1/S,Meetings/1/Start,Meetings/1/End,Meetings/1/Credit,Instructors/0/Display,Reqs/0/Code,Reqs/0/Desc,Reqs/0/Fy,Reqs/0/Uc,DeptCodes/0,Reqs/1/Code,Reqs/1/Desc,Reqs/1/Fy,Reqs/1/Uc,Reqs/2/Code,Reqs/2/Desc,Reqs/2/Fy,Reqs/2/Uc,Reqs/3/Code,Reqs/3/Desc,Reqs/3/Fy,Reqs/3/Uc,Instructors/1/Display,DeptCodes/1,Reqs/4/Code,Reqs/4/Desc,Reqs/4/Fy,Reqs/4/Uc,Instructors/2/Display,Instructors/3/Display,Instructors/4/Display,Reqs/5/Code,Reqs/5/Desc,Reqs/5/Fy,Reqs/5/Uc,DeptCodes/2,DeptCodes/3,Instructors/5/Display,Instructors/6/Display
202505-50048,202505,50048,MATH,241,1,,Discrete Structures,1,,,N,N,Y,OLIN 255,N,Y,N,Y,N,Y,N,1100,1150,1,,,,,,,,,,,,"McNamara, Peter R.",NMLG,Natural Science and Mathematics Learning Goals,Y,Y,MATH,NSMC,Natural Science and Mathematics,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50049,202505,50049,MATH,308,1,The evening time is for exams and will not be used every week.,Real Analysis I,1,,,N,N,Y,OLIN 351,N,Y,N,Y,N,Y,N,1300,1350,1,,N,N,N,Y,N,N,N,1900,2020,0,"Bickel, Kelly A.",NSMC,Natural Science and Mathematics,Y,Y,MATH,W2,Writing Level 2,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50058,202505,50058,GRMN,102,1,Students must also register for GRMN 102 recitation 40 or 41.,German in Everyday Life Elem 2,1,,,Y,N,Y,OLIN 275,N,Y,N,Y,N,Y,N,1100,1150,1,,,,,,,,,,,,"Heinsohn, Bastian",ARHC,Arts and Humanities,Y,Y,GRMN,CCFL,Foreign Language,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,,,,,
202505-50059,202505,50059,FREN,102,1,Students must select FREN 102 recitation 40 or 41.,Exploring French,1,,Closed,Y,N,Y,OLIN 254,N,Y,N,Y,N,Y,N,1000,1050,1,,,,,,,,,,,,"Westbrook, John E.",ARHC,Arts and Humanities,Y,Y,FREN,CCFL,Foreign Language,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,,,,,
202505-50064,202505,50064,GREK,102,1,,Introductory Ancient Greek,1,,,Y,N,Y,BRKI 166,N,Y,Y,Y,N,Y,N,1200,1250,1,,,,,,,,,,,,"Larson, Stephanie L.",AHLG,Arts and Humanities Learning Goals,Y,Y,GREK,ARHC,Arts and Humanities,Y,Y,CCFL,Foreign Language,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,
202505-50066,202505,50066,ITAL,102,1,Students must also register for an ITAL 102 recitation.,Elementary Italian II,1,,,Y,N,Y,COLE 219,N,Y,N,Y,N,Y,N,1000,1050,1,,,,,,,,,,,,"Kuhn, Bernhard",ARHC,Arts and Humanities,Y,Y,ITAL,CCFL,Foreign Language,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,,,,,
202505-50071,202505,50071,PHYS,212P,11,"If necessary, balancing may occur following registration",Problem Sess Clas/Modrn Phys,1,,,N,N,N,ACWS 215,N,N,N,Y,N,Y,N,900,950,1,,,,,,,,,,,,"Amthor, Matt M.",CCQR,Quantitative Reasoning,Y,Y,PHYS,LBSC,Lab Science,Y,Y,NMLG,Natural Science and Mathematics Learning Goals,Y,Y,NSMC,Natural Science and Mathematics,Y,Y,,,,,,,,,,,,,,,,,
202505-50073,202505,50073,PHYS,212P,16,"If necessary, balancing may occur following registration",Problem Sess Clas/Modrn Phys,1,,,N,N,N,ACWS 215,N,N,N,Y,N,Y,N,1300,1350,1,,,,,,,,,,,,"Traistaru, Ofelia",CCQR,Quantitative Reasoning,Y,Y,PHYS,LBSC,Lab Science,Y,Y,NMLG,Natural Science and Mathematics Learning Goals,Y,Y,NSMC,Natural Science and Mathematics,Y,Y,,,,,,,,,,,,,,,,,
202505-50076,202505,50076,PHYS,212L,61,"If necessary, balancing may occur following registration.",Lab-Classical/Modern Physics,0,,,N,N,N,OLIN 260,N,Y,N,N,N,N,N,1300,1550,0,,,,,,,,,,,,"Kopec, Abigail M.",NSMC,Natural Science and Mathematics,Y,Y,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50077,202505,50077,MILS,102,1,,Basic Leadership,0.25,,,Y,N,N,BRKI 165,N,N,Y,N,N,N,N,1800,1950,0,,,,,,,,,,,,"Rock, Jason L.",FRST,First year course,N,Y,MILS,,,,,,,,,,,,,"Frantz, Daniel R.",,,,,,,,,,,,,,,,
202505-50078,202505,50078,PHYS,212L,62,"If necessary, balancing may occur following registration.",Lab-Classical/Modern Physics,0,,,N,N,N,OLIN 260,N,Y,N,N,N,N,N,1900,2150,0,,,,,,,,,,,,"Solomon, Tom H.",NSMC,Natural Science and Mathematics,Y,Y,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50079,202505,50079,PHYS,212L,63,"If necessary, balancing may occur following registration.",Lab-Classical/Modern Physics,0,,,N,N,N,OLIN 260,N,N,Y,N,N,N,N,800,1050,0,,,,,,,,,,,,"Gurmessa, Bekele J.",NSMC,Natural Science and Mathematics,Y,Y,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50085,202505,50085,PHYS,222,1,,Wave Mechanics & Quantum Phys,1,,,N,N,Y,OLIN 255,N,Y,N,Y,N,Y,N,900,950,1,BRKI 165,N,N,Y,N,N,N,N,1300,1450,0,"Koutsoliotas, Sally",CCQR,Quantitative Reasoning,Y,Y,PHYS,NMLG,Natural Science and Mathematics Learning Goals,Y,Y,NSMC,Natural Science and Mathematics,Y,Y,,,,,,,,,,,,,,,,,,,,,
202505-50086,202505,50086,MILS,202,1,,Leadership and Teamwork,0.25,,,N,N,N,BRKI 166,N,N,Y,N,N,N,N,1800,1950,0,,,,,,,,,,,,"Metzgar, Richard V.",,,,,MILS,,,,,,,,,,,,,"Rock, Jason L.",,,,,,,,,,,,,,,,
202505-50093,202505,50093,MUSC,260,3,"Audition required. Ensembles are open to all Bucknell students, music majors and non-majors alike.",Ensemble: University Choir,0.25,,,Y,Y,Y,WEIS 112,N,N,Y,N,Y,N,N,1700,1820,0.25,,,,,,,,,,,,"Hopkins, Caleb",AHLG,Arts and Humanities Learning Goals,Y,Y,MUSC,ARHC,Arts and Humanities,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,,,,,
202505-50095,202505,50095,MUSC,260,6,"Ensembles are open to all Bucknell students, music majors and non-majors alike. ",Ensemble:  Chapel Ringers,0.25,,,Y,Y,Y,CHAP 104,N,N,N,N,Y,N,N,1900,2150,0.25,,,,,,,,,,,,"Riker, Robert S.",AHLG,Arts and Humanities Learning Goals,Y,Y,MUSC,ARHC,Arts and Humanities,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,,,,,
202505-50096,202505,50096,JAPN,102,1,Students must choose a recitation section.,Japanese I,1,,,Y,N,Y,COLE 117,N,N,Y,N,Y,N,N,1100,1150,1,,,,,,,,,,,,"Hughes, Yuka K.",ARHC,Arts and Humanities,Y,Y,JAPN,CCFL,Foreign Language,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,,,,,
202505-50097,202505,50097,JAPN,104,1,Must register for the recitation also (JAPN 104R-40),Japanese II,1,,,Y,N,Y,DANA 117,N,N,Y,N,Y,N,N,1100,1150,1,,,,,,,,,,,,"Lofgren, Erik R.",ARHC,Arts and Humanities,Y,Y,JAPN,CCFL,Foreign Language,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,,,,,
202505-50099,202505,50099,PSYC,215,1,,Psychological Statistics,1,,,N,N,N,OLRY 201,N,Y,N,Y,N,Y,N,1200,1250,1,,,,,,,,,,,,"Ptacek, John T.",CCQR,Quantitative Reasoning,Y,Y,PSYC,SLSC,Social Science,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50100,202505,50100,JAPN,102R,40,,Recitation-Japanese I,0,,,N,N,N,COLE 117,N,Y,N,Y,N,Y,N,1000,1050,0,,,,,,,,,,,,"Hughes, Yuka K.",,,,,JAPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50101,202505,50101,JAPN,102R,41,,Recitation-Japanese I,0,,,N,N,N,COLE 117,N,Y,N,Y,N,Y,N,1100,1150,0,,,,,,,,,,,,"Hughes, Yuka K.",,,,,JAPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50111,202505,50111,ENGR,101L,60,,Lab-Engineering Graphics,0,,,Y,N,N,DANA 214,N,N,N,N,Y,N,N,800,950,0,,,,,,,,,,,,"Higgins, Matthew J.",FRST,First year course,N,Y,ENGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50116,202505,50116,ENGR,240,1,Open to Biomedical Engineering sophomores.  Students must also select laboratory 60 or 61.,Science of Materials,1,,,N,N,N,ACET 114,N,Y,N,Y,N,Y,N,900,950,1,,,,,,,,,,,,"Hopper, Theo",,,,,ENGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50117,202505,50117,RUSS,102,1,Students must also select the RUSS 102 recitation.,Elementary Russian II,1,,,Y,N,Y,COLE 118,N,Y,N,Y,N,Y,N,1100,1150,1,,,,,,,,,,,,"Murphy, Lenora C.",ARHC,Arts and Humanities,Y,Y,RUSS,CCFL,Foreign Language,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,,,,,
202505-50118,202505,50118,RUSS,104,1,Students must also select the RUSS 104R 40 recitation.,Intermediate Russian II,1,,,Y,N,Y,VAUG 102,N,Y,N,Y,N,N,N,1600,1650,1,VAUG 102,N,N,Y,N,N,N,N,1630,1720,0,"Murphy, Lenora C.",ARHC,Arts and Humanities,Y,Y,RUSS,CCFL,Foreign Language,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,,,,,
202505-50121,202505,50121,CHEG,101,1,Open to First-year Chemical Engineering majors only and other first-year students by permission. ,Chemical Engineering Seminar,0,,,Y,N,Y,DANA 113,N,N,Y,N,N,N,N,1100,1150,0,,,,,,,,,,,,"Mineart, Kenny P.",FRST,First year course,N,Y,CHEG,,,,,,,,,,,,,"Csernica, Jeff",,,,,,,,,,,,,,,,
202505-50132,202505,50132,MUSC,170,1,,Piano Lessons I,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Jiang, Qing",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50133,202505,50133,MUSC,270,1,,Piano Lessons II,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Jiang, Qing",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50134,202505,50134,MUSC,370,1,,Piano Lessons III,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Jiang, Qing",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50135,202505,50135,MUSC,171,1,,Organ Lessons I,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Cover, David A.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50136,202505,50136,MUSC,371,1,,Organ Lessons III,0.25,,,N,Y,N,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Cover, David A.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50140,202505,50140,MUSC,274,2,,Violin Lessons II,0.25,,,N,Y,N,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Smolensky, Marcus H.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50141,202505,50141,MUSC,374,1,,Violin Lessons III,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Lakatos, Frank",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50145,202505,50145,MUSC,179,1,,Flute Lessons I,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Cullen, Leslie M.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50150,202505,50150,MUSC,381,1,,Clarinet Lessons III,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Poehailos, Anthony",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50151,202505,50151,MUSC,183,1,,Oboe Lessons I,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,,ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50152,202505,50152,MUSC,283,1,,Oboe Lessons II,0.25,,,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50153,202505,50153,MUSC,383,1,,Oboe Lessons III,0.25,,,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50158,202505,50158,MUSC,292,1,,Trombone Lessons II,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"LaBarca, Robert R.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50159,202505,50159,MUSC,392,1,,Trombone Lessons III,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"LaBarca, Robert R.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50160,202505,50160,MUSC,196,1,,Guitar Lessons I,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Hart, Robert A.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50161,202505,50161,MUSC,296,1,,Guitar Lessons II,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Hart, Robert A.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50172,202505,50172,MUSC,393,1,,Tuba Lessons III,0.25,,,N,Y,N,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Benjamin, Rick S.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50173,202505,50173,PSYC,207,1,Background checks and clearances will be required for volunteer placements in a child care center. Prerequisite: PSYC 100 or permission of the instructor. EDUC 102 or EDUC 201 is accepted as an alternate prerequisite for students who are Education Bachelor of Science majors.,Developmental Psychology,1,,,N,N,Y,OLRY 201,N,N,Y,N,Y,N,N,1300,1420,1,,,,,,,,,,,,"Boyatzis, Chris J.",CEL,Community Engaged Learning,Y,Y,PSYC,SLSC,Social Science,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50174,202505,50174,PHYS,235,1,Students must  choose a 235L lab section.,Applied Electronics,1,,,N,N,Y,OLIN 254,N,N,Y,N,Y,N,N,900,950,1,,,,,,,,,,,,"Amthor, Matt M.",CCQR,Quantitative Reasoning,Y,Y,PHYS,NSMC,Natural Science and Mathematics,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50176,202505,50176,CHEG,315,1,Students must select a laboratory and register for the co-req CHEG 310.,Unit Operations Laboratory,0.5,,,N,N,N,DANA 319,N,N,N,Y,N,N,N,1200,1250,0,,,,,,,,,,,,"Csernica, Jeff",W2,Writing Level 2,Y,Y,CHEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50177,202505,50177,MECH,392,1,Wednesday nights will be used occasionally for exams for both sections<br>Students must register for MECH 392L62 or L63,Mechanical Design,1,,,N,N,N,BRKI 166,N,N,N,Y,N,Y,N,830,950,1,ACWS 214,N,N,N,Y,N,N,N,1900,2020,0,"Beal, Craig E.",,,,,MECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50180,202505,50180,MECH,392L,60,Students must register for MECH 392-02,Lab for Mechanical Design,0,,,N,N,N,COMP 004,N,N,Y,N,N,N,N,800,950,0,,,,,,,,,,,,"Torres, Jonathan",,,,,MECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50181,202505,50181,MECH,392L,61,Students must register for MECH 392-02,Lab for Mechanical Design,0,,,N,N,N,COMP 004,N,N,Y,N,N,N,N,1000,1150,0,,,,,,,,,,,,"Torres, Jonathan",,,,,MECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50182,202505,50182,OCST,100,1,,Off-Campus Study,1,4,,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50185,202505,50185,PHYS,235L,61,,Laboratory-Applied Electronics,0,,,N,N,N,OLIN 271,N,N,N,Y,N,Y,N,1300,1450,0,,,,,,,,,,,,"Amthor, Matt M.",NSMC,Natural Science and Mathematics,Y,Y,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50186,202505,50186,ENGR,214,1,Students must also register for an ENGR 214L60 or L61,Computational Analysis,1,,,N,N,N,DANA 221,N,Y,N,Y,N,Y,N,900,950,1,,,,,,,,,,,,"Mamros, Elizabeth M.",,,,,ENGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50187,202505,50187,MUSC,191,1,,French Horn Lessons I,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Kenny, William E.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50188,202505,50188,MUSC,291,1,,French Horn Lessons II,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Kenny, William E.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50189,202505,50189,MUSC,391,1,,French Horn Lessons III,0.25,,,N,Y,Y,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Kenny, William E.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50190,202505,50190,ENGR,214L,60,Students must be enrolled in ENGR 214-01,Lab for Computational Analysis,0,,,N,N,N,DANA 221,N,N,Y,N,N,N,N,1300,1450,0,,,,,,,,,,,,"Mamros, Elizabeth M.",,,,,ENGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50191,202505,50191,ENGR,214L,61,Students must be enrolled in ENGR 214-01,Lab for Computational Analysis,0,,,N,N,N,DANA 221,N,N,Y,N,N,N,N,1500,1650,0,,,,,,,,,,,,"Mamros, Elizabeth M.",,,,,ENGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50196,202505,50196,ENGR,214,2,Students must register for ENGR 214L 62 or L63.,Computational Analysis,1,,,N,N,N,DANA 214,N,Y,N,Y,N,Y,N,1300,1350,1,,,,,,,,,,,,"O'Neill, Greg G.",,,,,ENGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50198,202505,50198,MATH,280,1,,"Logic, Sets, and Proofs",1,,,N,N,Y,OLIN 371,N,Y,N,Y,N,Y,N,1300,1350,1,,,,,,,,,,,,"Cyr, Van T.",NSMC,Natural Science and Mathematics,Y,Y,MATH,W2,Writing Level 2,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50199,202505,50199,CHEG,330,1,Students must select a laboratory.,Process Modeling Dynamics Ctrl,1,,,N,N,Y,DANA 134,N,Y,N,Y,N,Y,N,1100,1150,1,,,,,,,,,,,,"Mineart, Kenny P.",,,,,CHEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50200,202505,50200,CHEG,330L,60,,Laboratory-Process Control,0,,,N,N,N,DANA 213,N,N,Y,N,N,N,N,1300,1450,0,,,,,,,,,,,,"Mineart, Kenny P.",,,,,CHEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50201,202505,50201,CHEG,330L,61,,Laboratory-Process Control,0,,,N,N,N,DANA 213,N,N,Y,N,N,N,N,1500,1650,0,,,,,,,,,,,,"Mineart, Kenny P.",,,,,CHEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50203,202505,50203,MECH,392L,62,Students must register for MECH 392-01,Lab for Mechanical Design,0,,,N,N,N,COMP 004,N,N,Y,N,N,N,N,1300,1450,0,,,,,,,,,,,,"Torres, Jonathan",,,,,MECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50204,202505,50204,LATN,102,1,,Introductory Latin,1,,,Y,N,Y,COLE 054,N,Y,Y,Y,N,Y,N,900,950,1,,,,,,,,,,,,"Tardio, Katie",ARHC,Arts and Humanities,Y,Y,LATN,CCFL,Foreign Language,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,,,,,
